  1   -2.000000000000000e+00    4.000000000000000e+00
  1   -2.000000000000000e+00   -1.500000000000000e+00
  8    1.500000000000000e+00    2.000000000000000e+00
  5    0.000000000000000e+00    5.000000000000000e-01
  7    1.000000000000000e+00    1.500000000000000e+00
 12    3.500000000000000e+00    4.000000000000000e+00
  6    5.000000000000000e-01    1.000000000000000e+00
 11    3.000000000000000e+00    3.500000000000000e+00
  9    2.000000000000000e+00    2.500000000000000e+00
 10    2.500000000000000e+00    3.000000000000000e+00
  4   -5.000000000000000e-01    0.000000000000000e+00
  3   -1.000000000000000e+00   -5.000000000000000e-01
  2   -1.500000000000000e+00   -1.000000000000000e+00
  1   -2.000000000000000e+00   -1.958333333333333e+00
 11   -1.583333333333333e+00   -1.541666666666667e+00
  7   -1.750000000000000e+00   -1.708333333333333e+00
  3   -1.916666666666667e+00   -1.875000000000000e+00
  2   -1.958333333333333e+00   -1.916666666666667e+00
  8   -1.708333333333333e+00   -1.666666666666667e+00
  4   -1.875000000000000e+00   -1.833333333333333e+00
  5   -1.833333333333333e+00   -1.791666666666667e+00
  6   -1.791666666666667e+00   -1.750000000000000e+00
 10   -1.625000000000000e+00   -1.583333333333333e+00
 12   -1.541666666666667e+00   -1.500000000000000e+00
  9   -1.666666666666667e+00   -1.625000000000000e+00
  1    5.000000000000000e-01    5.416666666666666e-01
  6    7.083333333333333e-01    7.499999999999999e-01
  3    5.833333333333334e-01    6.250000000000000e-01
  4    6.250000000000000e-01    6.666666666666666e-01
  2    5.416666666666666e-01    5.833333333333333e-01
  8    7.916666666666666e-01    8.333333333333333e-01
  5    6.666666666666666e-01    7.083333333333333e-01
 10    8.750000000000000e-01    9.166666666666666e-01
  9    8.333333333333333e-01    8.749999999999999e-01
  7    7.500000000000000e-01    7.916666666666666e-01
 11    9.166666666666666e-01    9.583333333333333e-01
 12    9.583333333333333e-01    9.999999999999999e-01
  2    4.166666666666666e-02    8.333333333333333e-02
  4    1.250000000000000e-01    1.666666666666667e-01
  8    2.916666666666666e-01    3.333333333333333e-01
  5    1.666666666666667e-01    2.083333333333333e-01
 12    4.583333333333333e-01    5.000000000000000e-01
  3    8.333333333333333e-02    1.250000000000000e-01
  1    0.000000000000000e+00    4.166666666666666e-02
 10    3.750000000000000e-01    4.166666666666667e-01
  9    3.333333333333333e-01    3.750000000000000e-01
 11    4.166666666666666e-01    4.583333333333333e-01
  7    2.500000000000000e-01    2.916666666666667e-01
  6    2.083333333333333e-01    2.500000000000000e-01
